"environment","heritability","date","trait"
"DG2F",0.85,NA,"grain_yield"
"G2FE",0.86,NA,"grain_yield"
"DG2F",0.06,"2017-04-20","canopy_cover"
"G2FE",0.36,"2017-04-20","canopy_cover"
"DG2F",0.4,"2017-04-20","ExG"
"G2FE",0.58,"2017-04-20","ExG"
"DG2F",0.4,"2017-04-20","GLI"
"G2FE",0.58,"2017-04-20","GLI"
"DG2F",0.36,"2017-04-20","VARI"
"G2FE",0.59,"2017-04-20","VARI"
