"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-069","NILASQ4G61I02S3/LH123HT","DG2F",5,5,367,11.01438037
"CS17-DG2F-070","NILASQ4G61I11S2/LH123HT","DG2F",5,5,369,10.09292865
"CS17-DG2F-071","2369/LH123HT","DG2F",5,5,371,9.890672205
"CS17-DG2F-072","NILASQ4G31I08S2/LH123HT","DG2F",5,5,373,9.547621104
"CS17-DG2F-073","NILASQ4G31I07S3/LH123HT","DG2F",5,5,375,10.35767732
"CS17-DG2F-074","2369/LH123HT","DG2F",5,5,377,10.49254471
"CS17-DG2F-075","NILASQ4G31I11S3/LH123HT","DG2F",5,5,379,9.634230631
"CS17-DG2F-076","NILASQ4G31I06S2/LH123HT","DG2F",5,5,381,10.85213746
"CS17-DG2F-077","NILASQ4G31I04S2/LH123HT","DG2F",5,5,383,10.22966439
"CS17-DG2F-078","NILASQ4G31I09S2/LH123HT","DG2F",5,5,385,11.46398127
"CS17-DG2F-079","DKB 64-69","DG2F",5,5,387,13.21032898
"CS17-DG2F-080","NILASQ4G31I05S3/LH123HT","DG2F",5,5,389,10.05195071
"CS17-DG2F-081","NILASQ4G31I02S3/LH123HT","DG2F",5,5,391,10.60796239
"CS17-DG2F-082","NILASQ4G31I03S2/LH123HT","DG2F",5,5,393,9.479128154
"CS17-DG2F-083","NILASQ4G31I12S2/LH123HT","DG2F",5,5,395,9.877819809
"CS17-DG2F-084","NILASQ4G31I01S2/LH123HT","DG2F",5,5,397,10.4222927
"CS17-DG2F-085","NILASQ4G51I03S2/LH123HT","DG2F",5,6,397,8.255485638
"CS17-DG2F-086","NILASQ4G51I04S3/LH123HT","DG2F",5,6,395,9.013843045
"CS17-DG2F-087","NILASQ4G51I10S2/LH123HT","DG2F",5,6,393,10.78730773
"CS17-DG2F-088","NILASQ4G51I01S2/LH123HT","DG2F",5,6,391,10.54382643
"CS17-DG2F-089","NILASQ4G51I09S3/LH123HT","DG2F",5,6,389,9.589128206
